group,metric,gap
"(np.int64(0), np.int64(1))",accuracy,0.6658663465386154
"(np.int64(0), np.int64(2))",accuracy,0.6494845360824743
"(np.int64(0), np.int64(3))",accuracy,0.1950224398204815
"(np.int64(0), np.int64(4))",accuracy,0.14680971202710325
"(np.int64(0), np.int64(5))",accuracy,0.7478777589134126
"(np.int64(0), np.int64(7))",accuracy,0.4403927068723703
"(np.int64(0), np.int64(9))",accuracy,0.1946386946386946
"(np.int64(0), np.int64(10))",accuracy,0.11811685582177389
"(np.int64(1), np.int64(1))",accuracy,0.5925925925925926
"(np.int64(1), np.int64(2))",accuracy,0.5702917771883289
"(np.int64(1), np.int64(4))",accuracy,0.23270440251572322
"(np.int64(1), np.int64(5))",accuracy,0.6989247311827957
"(np.int64(1), np.int64(7))",accuracy,0.19047619047619047
"(np.int64(1), np.int64(8))",accuracy,0.20361990950226244
"(np.int64(1), np.int64(9))",accuracy,0.125
"(np.int64(1), np.int64(10))",accuracy,0.5909090909090909
"(np.int64(2), np.int64(1))",accuracy,0.2702197288452548
"(np.int64(2), np.int64(2))",accuracy,0.23027375201288244
"(np.int64(2), np.int64(3))",accuracy,0.4342160571668769
"(np.int64(2), np.int64(4))",accuracy,0.4339774557165862
"(np.int64(2), np.int64(6))",accuracy,0.6095238095238096
"(np.int64(2), np.int64(7))",accuracy,0.32499999999999996
"(np.int64(2), np.int64(8))",accuracy,0.3873501446878876
"(np.int64(2), np.int64(9))",accuracy,0.29605263157894735
"(np.int64(2), np.int64(10))",accuracy,0.16561580496006728
"(np.int64(3), np.int64(2))",accuracy,0.1428571428571429
"(np.int64(3), np.int64(4))",accuracy,0.30043859649122806
"(np.int64(3), np.int64(5))",accuracy,0.16483516483516492
"(np.int64(3), np.int64(7))",accuracy,0.20101637492941848
"(np.int64(3), np.int64(8))",accuracy,0.30519480519480524
"(np.int64(3), np.int64(9))",accuracy,0.16000000000000003
"(np.int64(4), np.int64(1))",accuracy,0.46666666666666673
"(np.int64(4), np.int64(2))",accuracy,0.32967032967032966
"(np.int64(4), np.int64(3))",accuracy,0.11111111111111116
"(np.int64(4), np.int64(5))",accuracy,0.35353535353535354
"(np.int64(4), np.int64(7))",accuracy,0.43434343434343436
"(np.int64(4), np.int64(8))",accuracy,0.7653061224489796
"(np.int64(4), np.int64(9))",accuracy,0.5581395348837209
"(np.int64(4), np.int64(10))",accuracy,0.5
"(np.int64(5), np.int64(1))",accuracy,0.6451612903225807
"(np.int64(5), np.int64(2))",accuracy,0.6629213483146067
"(np.int64(5), np.int64(3))",accuracy,0.3076923076923077
"(np.int64(5), np.int64(6))",accuracy,0.6842105263157895
"(np.int64(5), np.int64(7))",accuracy,0.2582633053221288
"(np.int64(5), np.int64(8))",accuracy,0.6941176470588235
"(np.int64(5), np.int64(9))",accuracy,0.1777777777777778
"(np.int64(5), np.int64(10))",accuracy,0.4444444444444444
"(np.int64(6), np.int64(2))",accuracy,0.9032258064516129
"(np.int64(6), np.int64(5))",accuracy,0.9090909090909091
"(np.int64(6), np.int64(6))",accuracy,0.4222222222222222
"(np.int64(6), np.int64(7))",accuracy,0.2630769230769231
"(np.int64(6), np.int64(8))",accuracy,0.8461538461538461
"(np.int64(6), np.int64(9))",accuracy,0.88
"(np.int64(6), np.int64(10))",accuracy,0.9333333333333333
"(np.int64(7), np.int64(2))",accuracy,0.6696428571428571
"(np.int64(7), np.int64(4))",accuracy,0.18947368421052632
"(np.int64(7), np.int64(5))",accuracy,0.23529411764705882
"(np.int64(7), np.int64(7))",accuracy,0.7577060931899642
"(np.int64(7), np.int64(9))",accuracy,0.10666666666666667
"(np.int64(8), np.int64(2))",accuracy,0.1694915254237288
"(np.int64(8), np.int64(3))",accuracy,0.10185185185185186
"(np.int64(8), np.int64(4))",accuracy,0.38251879699248126
"(np.int64(8), np.int64(8))",accuracy,0.1302385557704706
"(np.int64(8), np.int64(10))",accuracy,0.36986301369863017
"(np.int64(9), np.int64(8))",accuracy,0.12676056338028174
