group,metric,gap
"(np.int64(0), np.int64(1))",f1,0.5120787813509771
"(np.int64(0), np.int64(2))",f1,0.7875
"(np.int64(0), np.int64(3))",f1,0.16222637026981168
"(np.int64(0), np.int64(5))",f1,0.6182456140350878
"(np.int64(0), np.int64(7))",f1,0.29692671394799064
"(np.int64(0), np.int64(9))",f1,0.15563839701770743
"(np.int64(1), np.int64(1))",f1,0.7441860465116279
"(np.int64(1), np.int64(2))",f1,0.5733333333333333
"(np.int64(1), np.int64(4))",f1,0.19473684210526332
"(np.int64(1), np.int64(5))",f1,0.8227848101265823
"(np.int64(1), np.int64(7))",f1,0.14583333333333337
"(np.int64(1), np.int64(8))",f1,0.18518518518518512
"(np.int64(1), np.int64(9))",f1,0.1454545454545454
"(np.int64(1), np.int64(10))",f1,0.49825783972125437
"(np.int64(2), np.int64(1))",f1,0.30933904201230933
"(np.int64(2), np.int64(2))",f1,0.27012987012987
"(np.int64(2), np.int64(3))",f1,0.4395744680851064
"(np.int64(2), np.int64(4))",f1,0.44545454545454544
"(np.int64(2), np.int64(6))",f1,0.7180925666199158
"(np.int64(2), np.int64(7))",f1,0.3301587301587301
"(np.int64(2), np.int64(8))",f1,0.3674509803921568
"(np.int64(2), np.int64(9))",f1,0.2576950608446672
"(np.int64(2), np.int64(10))",f1,0.15987015621829992
"(np.int64(3), np.int64(4))",f1,0.21158301158301152
"(np.int64(3), np.int64(5))",f1,0.12512512512512508
"(np.int64(3), np.int64(7))",f1,0.14542483660130723
"(np.int64(3), np.int64(8))",f1,0.18729763387297627
"(np.int64(3), np.int64(9))",f1,0.10120177103099304
"(np.int64(4), np.int64(1))",f1,0.38888888888888895
"(np.int64(4), np.int64(2))",f1,0.49586776859504134
"(np.int64(4), np.int64(4))",f1,0.12599352369738004
"(np.int64(4), np.int64(5))",f1,0.5223880597014925
"(np.int64(4), np.int64(7))",f1,0.6056338028169014
"(np.int64(4), np.int64(8))",f1,0.8670520231213874
"(np.int64(4), np.int64(9))",f1,0.7164179104477612
"(np.int64(4), np.int64(10))",f1,0.6666666666666666
"(np.int64(5), np.int64(1))",f1,0.48913043478260865
"(np.int64(5), np.int64(2))",f1,0.7972972972972973
"(np.int64(5), np.int64(3))",f1,0.47058823529411764
"(np.int64(5), np.int64(6))",f1,0.8125
"(np.int64(5), np.int64(7))",f1,0.15616531165311653
"(np.int64(5), np.int64(8))",f1,0.8194444444444444
"(np.int64(5), np.int64(9))",f1,0.125
"(np.int64(5), np.int64(10))",f1,0.6153846153846154
"(np.int64(6), np.int64(2))",f1,0.9491525423728814
"(np.int64(6), np.int64(5))",f1,0.9523809523809523
"(np.int64(6), np.int64(6))",f1,0.59375
"(np.int64(6), np.int64(7))",f1,0.1813361611876988
"(np.int64(6), np.int64(8))",f1,0.9166666666666666
"(np.int64(6), np.int64(9))",f1,0.9361702127659575
"(np.int64(6), np.int64(10))",f1,0.9655172413793104
"(np.int64(7), np.int64(1))",f1,0.17431427839015637
"(np.int64(7), np.int64(2))",f1,0.8021390374331551
"(np.int64(7), np.int64(3))",f1,0.10619469026548671
"(np.int64(7), np.int64(4))",f1,0.3185840707964602
"(np.int64(7), np.int64(5))",f1,0.38095238095238093
"(np.int64(7), np.int64(7))",f1,0.7812269031781227
"(np.int64(7), np.int64(9))",f1,0.1927710843373494
"(np.int64(7), np.int64(10))",f1,0.16494845360824742
"(np.int64(8), np.int64(4))",f1,0.24915824915824925
"(np.int64(8), np.int64(10))",f1,0.22689075630252098
